img,folder,ratio,h,w,area,est_h_cm,est_w_cm,mode,gmean,kurtosis,var,std
../images/mask_set/2high_exsertion_low_seed_set/131.tif,2high_exsertion_low_seed_set,0.4470588235,85,38,6123,0.8947368421,0.4,24,27.94,8.7158164499,-1166.4980383701,17.6820851158
../images/mask_set/2high_exsertion_low_seed_set/94.tif,2high_exsertion_low_seed_set,0.4587155963,109,50,10200,1.1473684211,0.5263157895,28,34.72,2.335324194,-1784.9069178047,20.5865209677
../images/mask_set/2high_exsertion_low_seed_set/40.tif,2high_exsertion_low_seed_set,0.2021276596,94,19,4044,0.9894736842,0.2,26,27.4,17.8730847302,-1371.5826995775,13.4960136972
../images/mask_set/2high_exsertion_low_seed_set/128.tif,2high_exsertion_low_seed_set,0.3917525773,97,38,7032,1.0210526316,0.4,28,38.4,-0.9049805591,-4264.4966985887,27.7507791152
../images/mask_set/2high_exsertion_low_seed_set/106.tif,2high_exsertion_low_seed_set,0.2444444444,90,22,3789,0.9473684211,0.2315789474,33,45.72,-1.4803563199,-12787.7861246576,27.2071128049
../images/mask_set/2high_exsertion_low_seed_set/117.tif,2high_exsertion_low_seed_set,0.4473684211,76,34,5759,0.8,0.3578947368,28,37.97,-0.5614403498,-5087.5028589853,26.7307608587
../images/mask_set/2high_exsertion_low_seed_set/68.tif,2high_exsertion_low_seed_set,0.2596153846,104,27,6549,1.0947368421,0.2842105263,30,36.38,1.0513070626,-3429.9257508163,22.4030671506
../images/mask_set/2high_exsertion_low_seed_set/98.tif,2high_exsertion_low_seed_set,0.3804347826,92,35,6149,0.9684210526,0.3684210526,31,41.28,-0.4735063825,-5895.5237786253,25.008485383
../images/mask_set/2high_exsertion_low_seed_set/52.tif,2high_exsertion_low_seed_set,0.4175824176,91,38,7005,0.9578947368,0.4,32,36.44,2.3132616892,-3193.7932040964,20.7370318809
../images/mask_set/2high_exsertion_low_seed_set/134.tif,2high_exsertion_low_seed_set,0.4823529412,85,41,6020,0.8947368421,0.4315789474,31,37.66,0.4018908285,-4646.6366672552,25.1112790092
../images/mask_set/2high_exsertion_low_seed_set/22.tif,2high_exsertion_low_seed_set,0.2,95,19,3900,1,0.2,32,36.66,3.1036485899,-5696.7592566418,19.367710077
../images/mask_set/2high_exsertion_low_seed_set/53.tif,2high_exsertion_low_seed_set,0.3448275862,87,30,5307,0.9157894737,0.3157894737,25,30.39,3.3891964798,-2177.2915079074,21.9332550553
../images/mask_set/2high_exsertion_low_seed_set/37.tif,2high_exsertion_low_seed_set,0.5308641975,81,43,6759,0.8526315789,0.4526315789,28,32.47,2.4962167756,-2206.7970264374,22.0348471292
../images/mask_set/2high_exsertion_low_seed_set/62.tif,2high_exsertion_low_seed_set,0.3092783505,97,30,5577,1.0210526316,0.3157894737,26,32.94,1.6434887885,-2794.9952245779,22.7282262181
../images/mask_set/2high_exsertion_low_seed_set/20.tif,2high_exsertion_low_seed_set,0.2959183673,98,29,6267,1.0315789474,0.3052631579,23,34.22,-0.2827821734,-3209.4432879256,25.8410884894
